,Disease Code,Disease,Symptom Code,Symptom,Weight,Noise
0,C0020538,hypertensive disease,none,pain chest,0.6,0.03
1,C0020538,hypertensive disease,none,shortness of breath,0.6,0.03
2,C0020538,hypertensive disease,none,dizziness,0.6,0.03
3,C0020538,hypertensive disease,none,asthenia,0.3,0.03
4,C0020538,hypertensive disease,none,fall,0.3,0.03
5,C0020538,hypertensive disease,none,syncope,0.3,0.03
6,C0020538,hypertensive disease,none,vertigo,0.3,0.03
7,C0020538,hypertensive disease,none,sweat,0.6,0.03
8,C0020538,hypertensive disease,none,sweating increased,0.6,0.03
9,C0020538,hypertensive disease,none,palpitation,0.6,0.03
10,C0020538,hypertensive disease,none,nausea,0.6,0.03
11,C0020538,hypertensive disease,none,angina pectoris,0.3,0.03
12,C0020538,hypertensive disease,none,pressure chest,0.6,0.03
13,C0011847,diabetes,none,polyuria,0.6,0.03
14,C0011847,diabetes,none,polydypsia,0.6,0.03
15,C0011847,diabetes,none,shortness of breath,0.6,0.03
16,C0011847,diabetes,none,pain chest,0.6,0.03
17,C0011847,diabetes,none,asthenia,0.6,0.03
18,C0011847,diabetes,none,nausea,0.6,0.03
19,C0011847,diabetes,none,orthopnea,0.3,0.03
20,C0011847,diabetes,none,rale,0.3,0.03
21,C0011847,diabetes,none,sweat,0.6,0.03
22,C0011847,diabetes,none,sweating increased,0.6,0.03
23,C0011847,diabetes,none,unresponsiveness,0.1,0.03
24,C0011847,diabetes,none,mental status changes,0.1,0.03
25,C0011847,diabetes,none,vertigo,0.3,0.03
26,C0011847,diabetes,none,vomiting,0.6,0.03
27,C0011847,diabetes,none,labored breathing,0.3,0.03
28,C0011570,depression mental or depressive disorder,none,feeling suicidal,0.6,0.03
29,C0011570,depression mental or depressive disorder,none,suicidal,0.6,0.03
30,C0011570,depression mental or depressive disorder,none,hallucinations auditory,0.3,0.03
31,C0011570,depression mental or depressive disorder,none,feeling hopeless,0.9,0.03
32,C0011570,depression mental or depressive disorder,none,weepiness,0.6,0.03
33,C0011570,depression mental or depressive disorder,none,sleeplessness,0.9,0.03
34,C0011570,depression mental or depressive disorder,none,motor retardation,0.6,0.03
35,C0011570,depression mental or depressive disorder,none,irritable mood,0.9,0.03
36,C0011570,depression mental or depressive disorder,none,blackout,0.3,0.03
37,C0011570,depression mental or depressive disorder,none,mood depressed,0.9,0.03
38,C0011570,depression mental or depressive disorder,none,hallucinations visual,0.3,0.03
39,C0011570,depression mental or depressive disorder,none,worry,0.9,0.03
40,C0011570,depression mental or depressive disorder,none,agitation,0.6,0.03
41,C0011570,depression mental or depressive disorder,none,tremor,0.3,0.03
42,C0011570,depression mental or depressive disorder,none,intoxication,0.3,0.03
43,C0011570,depression mental or depressive disorder,none,verbal auditory hallucinations,0.3,0.03
44,C0011570,depression mental or depressive disorder,none,energy increased,0.3,0.03
45,C0011570,depression mental or depressive disorder,none,difficulty,0.6,0.03
46,C0011570,depression mental or depressive disorder,none,nightmare,0.6,0.03
47,C0011570,depression mental or depressive disorder,none,unable to concentrate,0.9,0.03
48,C0011570,depression mental or depressive disorder,none,homelessness,0.3,0.03
49,C0010054,coronary arteriosclerosis or coronary heart disease,none,pain chest,0.9,0.03
50,C0010054,coronary arteriosclerosis or coronary heart disease,none,angina pectoris,0.9,0.03
51,C0010054,coronary arteriosclerosis or coronary heart disease,none,shortness of breath,0.9,0.03
52,C0010054,coronary arteriosclerosis or coronary heart disease,none,hypokinesia,0.6,0.03
53,C0010054,coronary arteriosclerosis or coronary heart disease,none,sweat,0.6,0.03
54,C0010054,coronary arteriosclerosis or coronary heart disease,none,sweating increased,0.6,0.03
55,C0010054,coronary arteriosclerosis or coronary heart disease,none,pressure chest,0.6,0.03
56,C0010054,coronary arteriosclerosis or coronary heart disease,none,dyspnea on exertion,0.6,0.03
57,C0010054,coronary arteriosclerosis or coronary heart disease,none,orthopnea,0.3,0.03
58,C0010054,coronary arteriosclerosis or coronary heart disease,none,chest tightness,0.6,0.03
59,C0032285,pneumonia,none,cough,0.9,0.03
60,C0032285,pneumonia,none,fever,0.9,0.03
61,C0032285,pneumonia,none,decreased translucency,0.3,0.03
62,C0032285,pneumonia,none,shortness of breath,0.6,0.03
63,C0032285,pneumonia,none,rale,0.6,0.03
64,C0032285,pneumonia,none,productive cough,0.6,0.03
65,C0032285,pneumonia,none,pleuritic pain,0.3,0.03
66,C0032285,pneumonia,none,yellow sputum,0.3,0.03
67,C0032285,pneumonia,none,breath sounds decreased,0.3,0.03
68,C0032285,pneumonia,none,chill,0.6,0.03
69,C0032285,pneumonia,none,rhonchus,0.3,0.03
70,C0032285,pneumonia,none,green sputum,0.3,0.03
